day,id,reason
5243,1001,dehydration
5243,1864,dehydration
5244,1005,starvation
5245,33,dehydration
5245,960,dehydration
5246,1824,dehydration
5247,626,dehydration
5248,141,dehydration
5248,640,starvation
5251,513,dehydration
5251,3104,dehydration
5253,2187,starvation
5254,507,dehydration
5254,955,dehydration
5254,2085,starvation
5254,2617,dehydration
5255,4135,dehydration
5257,367,starvation
5259,384,dehydration
5260,2912,dehydration
5261,419,dehydration
5261,1993,dehydration
5262,2952,dehydration
5264,63,dehydration
5267,2496,dehydration
5267,2982,dehydration
5268,76,dehydration
5268,469,dehydration
5268,954,starvation
5269,50,dehydration
5269,695,dehydration
5269,701,dehydration
5269,3691,dehydration
5271,411,dehydration
5271,700,dehydration
5271,794,dehydration
5275,21,starvation
5275,2157,dehydration
5276,1334,dehydration
5276,2305,dehydration
5277,606,dehydration
5278,1497,dehydration
5287,2145,dehydration
5290,592,dehydration
5293,4272,dehydration
5295,148,dehydration
5298,1705,dehydration
5303,126,starvation
5307,135,dehydration
5309,1003,dehydration
5310,424,dehydration
5321,3384,dehydration
5322,1166,dehydration
5326,1457,dehydration
5327,11,dehydration
5327,3549,dehydration
5331,172,dehydration
5334,6,dehydration
5335,1133,dehydration
5338,3457,dehydration
5340,519,dehydration
5340,1244,dehydration
5341,503,dehydration
5343,1011,dehydration
5344,378,dehydration
5344,1206,starvation
5345,742,dehydration
5355,2318,dehydration
5364,299,dehydration
5367,656,dehydration
5369,129,dehydration
5371,852,dehydration
5374,1147,dehydration
5376,874,dehydration
5377,655,dehydration
5378,2039,dehydration
5381,2682,dehydration
5382,1343,dehydration
5383,1380,dehydration
5385,516,dehydration
5387,526,dehydration
5391,1376,dehydration
5392,271,dehydration
5395,951,starvation
5396,2989,dehydration
5399,251,dehydration
5405,4362,dehydration
5414,541,dehydration
5414,862,dehydration
5423,82,dehydration
5425,814,dehydration
5440,1517,dehydration
5445,1048,dehydration
5470,4421,dehydration
5473,422,dehydration
5483,910,dehydration
5485,3095,dehydration
5486,356,dehydration
5486,1301,dehydration
5504,4,dehydration
5507,828,dehydration
5508,3256,dehydration
5509,498,dehydration
5513,158,dehydration
5515,213,dehydration
5515,598,dehydration
5527,835,dehydration
5529,948,dehydration
5536,194,dehydration
5541,5,dehydration
5542,911,dehydration
5543,929,dehydration
5543,1402,dehydration
5543,3902,dehydration
5544,212,dehydration
5545,36,dehydration
5545,4153,dehydration
5546,1817,dehydration
5553,433,dehydration
5553,4411,dehydration
5557,306,dehydration
5558,444,dehydration
5560,1416,dehydration
5561,157,dehydration
5561,2245,dehydration
5562,943,dehydration
5563,4443,dehydration
5563,4486,dehydration
5565,1139,dehydration
5566,920,dehydration
5568,2512,dehydration
5571,130,dehydration
5582,412,dehydration
5586,4394,dehydration
5590,159,dehydration
5595,346,dehydration
5597,1204,dehydration
5597,1677,dehydration
5598,201,dehydration
5604,1309,dehydration
5607,683,dehydration
5611,4429,dehydration
5612,373,dehydration
5622,290,dehydration
5628,994,dehydration
5645,1814,dehydration
5656,128,dehydration
5659,46,dehydration
5665,1897,dehydration
5666,353,dehydration
5666,531,dehydration
5667,819,dehydration
5667,2046,dehydration
5669,569,dehydration
5671,1690,dehydration
5686,402,dehydration
5706,1474,dehydration
5710,770,dehydration
5710,1020,dehydration
5714,4516,dehydration
5716,4526,dehydration
5717,2551,dehydration
5719,813,dehydration
5720,529,dehydration
5720,2082,dehydration
5721,1448,dehydration
5721,1471,dehydration
5725,162,dehydration
5725,1304,dehydration
5726,4570,dehydration
5728,250,dehydration
5728,2872,dehydration
5735,4482,dehydration
5738,1149,dehydration
5738,1627,dehydration
5742,4505,dehydration
5743,339,dehydration
5743,3618,dehydration
5744,67,dehydration
5744,206,dehydration
5745,2026,dehydration
5746,260,dehydration
5747,1966,dehydration
5751,789,dehydration
5762,385,dehydration
5763,475,dehydration
5778,265,dehydration
5780,2614,dehydration
5801,4448,dehydration
5814,2716,dehydration
5839,1546,dehydration
5841,713,dehydration
5842,3266,dehydration
5843,58,dehydration
5851,9,dehydration
5851,37,dehydration
5853,137,dehydration
5861,2679,dehydration
5862,177,dehydration
5862,574,dehydration
5887,1862,dehydration
5892,935,dehydration
5892,1026,dehydration
5914,1062,dehydration
5915,1446,dehydration
5916,1851,dehydration
5919,1043,dehydration
5925,2626,dehydration
5937,1452,dehydration
5941,1006,dehydration
5941,4655,dehydration
